#Frame          test3   test3[Max]
     469      15.5251      27.1938
     470      15.6042      27.1343
     471      15.5567      27.2635
     472      15.5198      27.4140
     473      15.5531      27.0636
     474      15.5597      27.1319
     475      15.5322      27.0984
     476      15.5410      26.8402
     477      15.5932      26.7095
     478      15.6756      26.5164
     479      15.5194      27.0945
     480      15.5557      26.8545
     481      15.6084      26.6668
     482      15.6370      26.7123
     483      15.7096      26.8251
     484      15.7307      26.8308
     485      15.6682      26.6022
     486      15.5791      26.8723
     487      15.5451      27.5440
     488      15.5748      26.8166
     489      15.4729      27.2128
     490      15.5790      26.7249
     491      15.5530      26.7420
     492      15.4823      26.7009
     493      15.5139      27.0483
     494      15.5679      26.7790
     495      15.5243      26.7091
     496      15.5961      26.5736
     497      15.6094      27.0775
     498      15.5998      26.7688
     499      15.5857      26.9947
     500      15.5886      27.4788
     501      15.6058      27.6310
     502      15.5912      26.6969
     503      15.6034      26.8505
     504      15.6426      26.7278
     505      15.6294      27.4744
     506      15.6304      27.5195
     507      15.6878      27.6990
     508      15.5714      27.3333
     509      15.7025      28.2765
     510      15.6644      27.2907
     511      15.6395      27.3657
     512      15.5825      26.9405
     513      15.6268      26.8578
     514      15.5282      27.0934
     515      15.5545      26.8592
     516      15.6094      26.6259
     517      15.7131      28.4025
     518      15.6164      27.8606
     519      15.5976      27.6842
     520      15.5665      27.3228
     521      15.6118      27.6261
     522      15.5387      26.8907
     523      15.5434      26.8477
     524      15.6436      27.1441
     525      15.6335      28.0523
     526      15.6674      26.9772
     527      15.6019      27.0344
     528      15.6088      26.9900
     529      15.6258      27.7231
     530      15.6424      27.9751
     531      15.6010      27.5672
     532      15.5442      27.2465
     533      15.6004      27.0540
     534      15.6063      27.6977
     535      15.6049      27.6223
     536      15.6222      27.7160
     537      15.5544      27.0329
     538      15.5780      27.0798
     539      15.5171      27.1620
     540      15.5283      27.0238
     541      15.5390      26.9924
     542      15.4756      26.3926
     543      15.4674      27.0888
     544      15.5226      26.4283
     545      15.5925      27.5363
     546      15.6349      27.6826
     547      15.5548      26.7384
     548      15.4586      26.5291
     549      15.6400      27.3597
     550      15.4714      26.7279
     551      15.5208      26.8573
     552      15.4716      26.4005
     553      15.4598      26.4142
     554      15.4377      26.7494
     555      15.6516      27.5410
     556      15.6431      27.4152
     557      15.6215      27.1804
     558      15.6001      27.3080
     559      15.6146      27.0686
     560      15.5986      27.0843
     561      15.6149      27.3765
     562      15.6644      27.2016
