#Frame           test    test[Max]
     613      15.5727      27.0071
     614      15.5325      27.4553
     615      15.5332      27.2359
     616      15.6855      27.2356
     617      15.5540      27.1610
     618      15.5801      26.7679
     619      15.5142      26.8106
     620      15.5703      27.3053
     621      15.5838      26.9692
     622      15.5891      27.4982
     623      15.6647      26.8202
     624      15.5091      26.9597
     625      15.4991      26.8469
     626      15.6451      26.9720
     627      15.5329      26.9355
     628      15.5811      27.0004
     629      15.5625      27.0591
     630      15.5924      27.1044
     631      15.5109      26.4036
     632      19.1280      73.0575
     633      15.6094      27.4040
     634      15.5458      26.8104
     635      15.5856      27.0905
     636      15.6208      26.9692
     637      15.6594      26.6486
     638      15.5332      27.0797
     639      15.4624      26.5450
     640      15.6959      27.3317
     641      15.5699      26.8921
     642      15.5250      27.3159
     643      15.6108      26.9307
     644      15.5901      26.8652
     645      15.5311      26.7731
     646      15.4733      26.9811
     647      15.5857      27.2889
     648      15.5363      26.9288
     649      15.5582      26.8074
     650      15.5617      27.0766
     651      15.5661      26.6398
     652      15.5215      26.8315
     653      15.5308      27.1729
     654      15.5553      26.7069
     655      15.6364      27.0750
     656      15.5850      26.9675
     657      15.5834      26.8640
     658      15.5322      27.0262
     659      15.5919      27.4686
     660      18.9889      71.8060
     661      15.5955      26.6480
     662      15.4278      26.6149
     663      20.5633      83.2893
     664      15.5706      27.6224
     665      15.5624      27.2899
     666      18.9262      66.3402
     667      15.5054      26.9989
     668      15.7061      27.3979
     669      15.4954      27.0231
     670      15.5461      26.7772
     671      15.5270      26.5864
     672      15.5367      26.9407
     673      15.5418      27.2077
     674      15.4813      27.4047
     675      15.4566      26.6813
     676      15.5025      27.0245
     677      15.4742      26.5803
     678      18.8646      66.7887
     679      15.4985      26.7933
     680      15.5298      26.9169
     681      15.5643      26.7606
     682      18.5600      65.5037
     683      15.5017      26.8518
     684      15.6242      26.9534
     685      19.9642      80.1407
     686      18.5219      65.3323
     687      15.5573      26.9243
     688      15.5004      26.6576
     689      15.5196      27.0924
     690      18.6287      65.8876
     691      18.5918      65.7038
     692      15.6242      27.1941
     693      15.5748      26.7830
     694      15.5088      26.8527
     695      15.5690      27.1039
     696      15.5296      27.1548
     697      20.0566      79.8186
     698      15.5441      26.9587
     699      19.9781      79.8873
     700      15.4888      26.5644
     701      15.5138      27.2303
     702      15.5282      26.9886
     703      20.0565      80.0632
     704      15.7305      27.3040
     705      15.4995      26.9690
     706      15.4468      26.7816
     707      15.6643      27.1133
     708      15.5851      27.4608
     709      15.4675      27.0433
     710      15.5999      26.8370
     711      15.5034      26.8915
     712      15.6574      26.7394
     713      15.4878      26.3887
     714      20.5842      80.6890
     715      15.6106      27.4236
     716      15.4585      27.2651
     717      15.4686      26.9366
     718      18.7920      65.8870
     719      15.5554      27.4413
     720      15.4522      26.9903
     721      15.5372      27.0963
     722      15.5606      27.3956
     723      18.8029      65.3420
     724      18.7727      65.2026
     725      15.6069      26.9454
     726      18.8242      65.6636
     727      15.4814      27.0572
     728      15.4836      27.0321
     729      15.5531      27.3707
     730      15.5311      26.7298
     731      15.5161      27.1318
     732      15.5084      26.9052
     733      15.5241      27.1337
     734      15.5866      26.8477
     735      18.8516      65.5580
     736      15.5499      27.6455
     737      15.4997      26.6902
     738      15.5048      27.0844
     739      15.5597      26.9894
     740      15.5231      27.3573
     741      15.5848      26.9051
     742      15.5469      27.1485
     743      18.8877      65.8062
     744      15.5910      27.0226
     745      15.4715      27.0239
     746      15.4833      26.4618
     747      15.5056      26.9144
     748      15.7332      27.1726
     749      15.5127      27.0869
     750      15.5196      27.2815
     751      15.4963      27.5258
     752      15.4970      27.3180
     753      15.5504      26.9578
     754      15.4921      26.8726
     755      15.7643      26.9297
     756      15.5214      27.4647
     757      15.6964      27.3918
     758      18.9667      70.9584
     759      15.5838      27.4648
     760      15.6396      27.2104
     761      18.8975      70.3881
     762      15.5576      26.7968
     763      15.7621      27.4190
     764      15.5823      27.2807
     765      15.5115      27.2320
     766      15.8034      27.6422
     767      15.4762      27.4700
     768      15.4664      27.1400
     769      15.6655      26.9208
     770      15.4958      27.2523
     771      15.7121      27.3719
     772      15.5642      27.2445
     773      15.4924      27.0664
     774      15.4748      27.2292
     775      15.6838      29.1478
     776      15.5122      27.2533
     777      15.6056      27.0108
     778      15.4738      27.0782
     779      15.7798      27.2773
     780      15.4653      26.6912
     781      15.6138      28.5721
     782      15.6007      28.3350
     783      15.6869      27.5203
     784      15.4529      27.2028
     785      15.4728      27.2364
     786      15.5394      26.6878
     787      15.4889      27.1253
     788      15.5388      28.7004
     789      15.5188      26.5704
     790      15.5006      27.4390
     791      15.4891      26.8569
     792      15.6453      26.9474
     793      15.5588      27.9851
     794      15.4841      27.1383
     795      15.4549      26.4350
     796      15.4504      27.1282
     797      15.4783      27.1879
     798      18.7078      65.3538
     799      15.6126      28.2771
     800      15.5580      26.9128
     801      15.5760      26.7397
     802      15.5315      26.9378
     803      15.5372      26.7396
     804      15.5812      28.4101
     805      15.5262      28.0242
     806      15.5439      28.1437
     807      15.6701      26.5137
     808      15.5103      27.1365
     809      15.6578      26.9351
     810      15.6946      27.6686
     811      15.6904      26.9334
     812      15.7318      26.7005
     813      15.5350      27.1359
     814      15.7735      26.4700
     815      15.4963      26.9661
     816      15.7699      27.2694
     817      15.6979      26.5779
     818      15.6326      26.8961
     819      15.5368      27.4508
     820      15.6294      26.9539
     821      15.6482      27.0374
     822      15.7421      26.6112
     823      15.5661      26.9693
     824      15.6336      27.0699
     825      15.4790      27.1701
     826      15.6124      27.2941
     827      15.5514      27.1656
     828      15.4785      26.9575
     829      15.5837      27.1864
     830      15.4993      27.1489
     831      18.9228      71.0753
     832      15.5913      27.1500
     833      15.5238      27.2833
     834      15.6332      27.0458
     835      15.6150      27.3820
     836      15.5110      27.0329
     837      15.4713      27.2256
     838      15.6325      27.1223
     839      15.4815      27.0708
     840      15.4699      27.3621
     841      15.6911      28.3886
     842      15.5964      27.6654
     843      15.5361      27.4133
     844      15.6623      26.5703
     845      15.6595      26.5538
     846      15.6532      26.7055
     847      15.4873      27.2292
     848      15.6212      26.8682
     849      15.5552      27.2107
     850      15.5896      27.3093
     851      15.6038      27.5438
     852      15.6979      27.1972
     853      15.5195      27.7197
     854      15.6456      26.8995
     855      15.5789      27.3727
     856      15.5050      27.1683
     857      15.6927      27.1103
     858      15.6847      27.0534
     859      15.4482      27.1653
     860      15.5016      27.2522
     861      15.6089      27.2235
     862      15.5308      27.2505
     863      15.5723      27.4920
     864      15.4857      27.1313
     865      15.4971      27.1163
     866      15.4196      27.0991
     867      15.6416      26.8102
     868      15.6207      26.7690
     869      15.4788      26.9058
     870      18.8316      65.5664
     871      15.6896      28.1850
     872      15.4249      26.9772
     873      15.5753      26.9041
