#Frame          test1   test1[Max]
     325      15.7991      27.9829
     326      15.7565      27.5874
     327      15.7081      29.2798
     328      15.7188      28.5603
     329      15.6680      27.9030
     330      15.6461      27.5767
     331      15.6504      27.4606
     332      15.6903      28.7562
     333      15.6725      27.9238
     334      15.6883      28.8358
     335      15.7438      27.7674
     336      15.6817      28.2229
     337      15.7009      27.9229
     338      15.6693      28.1031
     339      15.6779      27.7551
     340      15.6102      27.6452
     341      15.7522      27.6066
     342      15.7140      28.7064
     343      15.7527      27.6406
     344      15.7874      27.8888
     345      15.5539      27.3504
     346      15.7039      28.8670
     347      15.7489      28.0652
     348      15.6706      29.0418
     349      15.6883      29.4165
     350      15.7522      28.8638
     351      15.6938      29.6734
     352      15.6542      29.1699
     353      15.6670      29.2525
     354      15.6825      29.2063
     355      15.6918      29.1026
     356      15.6858      28.9995
     357      15.6889      28.5030
     358      15.6892      27.7235
     359      15.7110      27.5231
     360      15.7167      27.8404
     361      15.7239      28.7003
     362      15.7464      27.9954
     363      15.7175      28.2525
     364      15.7242      27.8785
     365      15.6753      27.4705
     366      15.6973      28.0572
     367      15.6926      27.7228
     368      15.5953      27.3052
     369      15.7748      28.2392
     370      15.6739      28.2113
     371      15.5635      27.3010
     372      15.7089      28.9429
     373      15.7256      27.8124
     374      15.6649      27.6639
     375      15.7999      28.5239
     376      15.7393      28.1975
     377      15.7478      28.7142
     378      15.7646      29.2860
     379      15.7443      30.0444
     380      15.7639      30.1421
     381      15.6553      27.3924
     382      15.6363      27.6970
     383      15.6962      28.0933
     384      15.6849      28.2160
     385      15.6980      28.6687
     386      15.6324      27.8309
     387      15.6638      29.5710
     388      15.6590      27.5296
     389      15.6272      27.5378
     390      15.6040      27.3060
     391      15.7323      29.1322
     392      15.7520      29.6334
     393      15.7505      27.3499
     394      15.6857      27.4543
     395      15.6294      27.5015
     396      15.6711      28.6051
     397      15.6872      27.3795
     398      15.7057      27.5576
     399      15.7339      27.5559
     400      15.7363      28.6585
     401      15.6879      27.5804
     402      15.7761      28.0729
     403      15.7116      27.7361
     404      15.7213      27.5461
     405      15.6301      28.0629
     406      15.6367      27.8552
     407      15.7883      28.2517
     408      15.6534      28.0030
     409      15.7165      28.7961
     410      15.7132      29.0459
     411      15.7349      28.3736
     412      15.7544      29.3541
     413      15.7903      29.4207
     414      15.7817      28.2892
     415      15.7773      29.0661
     416      15.7583      28.7440
     417      15.7729      30.6479
     418      15.7304      29.1319
     419      15.7596      29.4002
     420      15.7208      28.2549
     421      15.6789      28.0269
     422      15.7512      28.5776
     423      15.6989      28.5536
     424      15.6969      28.3993
     425      15.8043      29.3063
     426      15.6825      27.2855
     427      15.8132      28.3853
     428      15.8720      28.3605
     429      15.8450      28.7220
     430      15.7739      27.8539
     431      15.8020      28.2160
     432      15.6659      27.6928
     433      15.8503      28.6133
     434      15.8274      27.8665
     435      15.8124      28.2278
     436      15.6319      29.4602
     437      15.7595      27.7465
     438      15.8103      28.3749
     439      15.7898      28.1469
     440      15.8522      28.9563
     441      15.8594      29.0223
     442      15.8888      29.3917
     443      15.6529      28.6623
     444      15.8850      28.4054
     445      15.8810      27.7836
     446      15.7857      28.9068
     447      15.8089      28.0931
     448      15.8552      28.1795
     449      15.7858      28.4843
     450      15.7281      27.5642
     451      15.8256      28.1824
     452      15.8256      29.2969
     453      15.8278      29.3465
     454      15.6391      28.9745
     455      15.6805      28.9152
     456      15.7640      27.7542
     457      15.7585      28.4870
     458      15.6587      28.7297
     459      15.6947      29.0475
     460      15.8368      28.9562
     461      15.7778      29.5059
     462      15.7808      29.0902
     463      15.6845      29.0310
     464      15.8409      27.8368
     465      15.7103      28.6739
     466      15.6662      28.9262
     467      15.7263      29.2586
     468      15.8068      28.6758
     469      15.8256      27.5240
     470      15.6706      29.9271
     471      15.6663      26.9642
     472      15.7639      27.8091
     473      15.7533      28.0220
     474      15.8281      27.8453
     475      15.7665      28.0219
     476      15.6776      29.4815
     477      15.6269      28.9320
     478      15.6695      29.1852
     479      15.7073      28.4133
     480      15.7110      28.4775
     481      15.6572      29.7152
     482      15.6879      29.6288
     483      15.6666      29.2449
     484      15.6370      29.0359
     485      15.6313      29.1883
     486      15.6481      29.8313
     487      15.8222      28.0199
     488      15.6761      29.2010
     489      15.7777      27.5486
     490      15.6479      28.9409
     491      15.6946      27.5687
     492      15.6751      28.0246
     493      15.7958      28.2349
     494      15.6226      28.6282
     495      15.6920      27.3418
     496      15.7413      27.6802
     497      15.6582      28.7179
     498      15.7004      28.0127
     499      15.6146      28.5972
     500      15.7077      27.2505
     501      15.6941      27.4751
     502      15.6151      28.4633
     503      15.6360      28.3405
     504      15.6855      29.2414
     505      15.7122      28.0281
     506      15.6483      27.8022
     507      15.7053      27.9097
     508      15.7776      27.8418
     509      15.6650      27.2943
     510      15.5908      27.4531
     511      15.5461      27.1190
     512      15.7976      28.1992
     513      15.8020      28.0531
     514      15.7818      27.8854
     515      15.7319      27.3979
     516      15.6672      28.4050
     517      15.5774      27.2415
     518      15.6081      27.4202
     519      15.6142      27.3053
     520      15.6372      27.5687
     521      15.6387      27.1463
     522      15.6560      28.6829
     523      15.6694      29.1428
     524      15.6401      28.8926
     525      15.6211      27.4421
     526      15.7061      27.7819
     527      15.6571      27.3995
     528      15.6891      28.4715
     529      15.6514      27.2580
     530      15.6069      27.3785
     531      15.6099      27.6582
     532      15.6305      27.1350
     533      15.7032      27.5048
     534      15.7165      27.4581
     535      15.6678      27.4750
     536      15.6686      27.7080
     537      15.7127      27.6149
     538      15.7479      27.9685
     539      15.7126      27.5406
     540      15.7141      27.5307
     541      15.6911      27.8146
     542      15.6824      27.2083
     543      15.7639      28.4342
     544      15.6811      28.2805
     545      15.6422      27.8163
     546      15.7068      28.5782
     547      15.7078      28.2349
     548      15.6763      28.0037
     549      15.6641      27.7882
     550      15.6573      28.9351
     551      15.6774      29.4858
     552      15.7425      29.2509
     553      15.6943      28.2181
     554      15.6940      29.1382
     555      15.6874      27.7488
     556      15.6318      27.8342
     557      15.6577      27.3961
     558      15.6373      27.3464
     559      15.6103      27.4391
     560      15.6462      27.4957
     561      15.6913      27.9973
     562      15.6315      27.7248
     563      15.6887      27.8590
     564      15.6425      28.0886
     565      15.6932      28.2469
     566      15.6993      28.0145
     567      15.7480      28.1172
     568      15.7184      28.3919
     569      15.7363      27.6640
     570      15.7051      27.9608
     571      15.7569      28.3511
     572      15.7604      28.4771
     573      15.7276      28.1165
     574      15.7441      28.0736
     575      15.6455      27.2220
     576      15.6680      27.3509
     577      15.7239      28.0933
     578      15.7296      28.3169
     579      15.6816      27.6715
     580      15.7192      28.6473
     581      15.6936      28.7754
     582      15.7230      27.8734
     583      15.7136      27.9766
     584      15.7031      28.2251
     585      15.7020      28.0004
     586      15.6719      28.3460
     587      15.6931      27.7109
     588      15.7107      27.5914
     589      15.6738      27.3284
     590      15.6840      27.6239
     591      15.7048      27.5150
     592      15.7139      27.8861
     593      15.6756      28.1060
     594      15.6250      27.6609
     595      15.8263      28.2433
     596      15.6805      27.8835
     597      15.6571      27.9110
     598      15.6188      27.7409
     599      15.6696      27.8284
     600      15.7812      28.4809
     601      15.6689      27.5399
     602      15.6418      27.5117
     603      15.6785      28.0334
     604      15.5889      28.4157
     605      15.6662      27.8705
     606      15.6884      28.1898
     607      15.6872      28.3435
     608      15.7318      28.8036
     609      15.7684      28.4994
     610      15.6509      28.5819
     611      15.6978      28.0729
     612      15.5984      27.6345
     613      15.6546      27.9645
     614      15.6811      27.6566
     615      15.6254      27.4504
     616      15.7208      28.0329
     617      15.7491      28.2741
     618      15.7820      28.2674
     619      15.5933      27.1477
     620      15.6822      27.5063
     621      15.7015      27.7972
     622      15.8134      28.3612
     623      15.7085      28.2856
     624      15.7442      28.4526
     625      15.7227      27.7849
     626      15.7446      27.3722
     627      15.7999      28.2270
     628      15.8442      27.0459
     629      15.6295      28.2616
     630      15.6824      28.7544
     631      15.7531      28.1980
     632      15.7734      28.1266
     633      15.6044      28.4683
     634      15.7646      28.6606
