#Frame   WS_00005[lower] WS_00005[upper]
     795               7              20
     796               7              21
     797               7              16
     798               7              23
     799               6              21
     800               2              14
     801               7              23
     802               6              12
     803               6              13
     804               5              13
     805               5              15
     806               8              17
     807               7              17
     808               4              14
     809               6              20
     810               3               9
     811               6              15
     812               4              15
     813               7              17
     814               6              19
     815               7              12
     816               7              15
     817               5              17
     818               4              13
     819               6              15
     820               6              15
     821               4              14
     822               2              12
     823               7              15
     824               6              12
     825               9              21
     826               8              18
     827               6              16
     828               8              21
     829               6              10
     830               4              18
     831               7              20
     832               7              20
     833               5              18
     834               7              17
     835               5              14
     836               6              15
     837               4              14
     838               8              19
     839               5              12
     840               7              16
     841               5              17
     842               8              18
     843               7              19
     844               8              21
     845               5              15
     846               4              17
     847               7              18
     848               6              18
     849               8              18
     850               4              16
     851               4              14
     852               9              19
     853               8              16
     854               7              20
     855               9              22
     856               7              19
     857               3              14
     858               5              15
     859               8              18
     860               7              18
     861               4              17
     862               9              18
     863               7              20
     864               3              15
     865               5              16
     866               7              14
     867               6              13
     868               7              17
     869               7              17
     870               6              16
     871               5              11
     872               4              14
     873               7              15
     874               7              16
     875               5              16
     876               5              14
     877               5              14
     878               3              11
     879               5              14
     880               4              11
     881               6              16
     882               6              15
     883               5              18
     884               6              17
     885               6              17
     886               6              14
     887               4              16
     888               4              11
     889               4              17
     890               4              14
     891               5              17
     892               6              16
     893               6              15
     894               6              14
     895               6              14
     896               4              11
     897               4              20
     898               5              13
     899               4              12
     900               6              15
     901               7              17
     902               4              15
     903               3              14
     904               5              14
     905               5              12
     906               4              13
     907               6              14
     908               5              14
     909               6              14
     910               5              14
     911               5              15
     912               6              19
     913               8              13
     914               6              14
     915               4              13
     916               6              16
     917               5              13
     918               6              16
     919               6              17
     920               5              13
     921               5              13
     922               7              20
     923               5              17
     924               6              13
     925               7              15
     926               7              15
     927               5              15
     928               5              14
     929               6              13
     930               4              13
     931               7              15
     932               4              14
     933               3              15
     934               5              11
     935               4              16
     936               6              15
     937               7              17
     938               7              13
     939               5              18
     940               4              11
     941               5              13
     942               7              16
     943               6              17
     944               7              15
     945               6              16
     946               6              16
     947               7              15
     948               7              19
     949               6              15
     950               6              18
     951               8              14
     952               6              17
     953               8              17
     954               5              16
     955               7              16
     956               8              18
     957               5              15
     958               7              16
     959               5              12
     960               6              16
     961               4              15
     962               6              13
     963               3              13
     964               4              14
     965               9              18
     966               5              13
     967               3               7
     968               3              13
     969               7              18
     970               8              14
     971               4              13
     972               8              20
     973               4              11
     974               6              11
     975               4               8
     976               3               9
     977               4              10
     978               5              12
     979               6              16
     980               5              11
     981               2              11
     982               5              14
     983               6              16
     984               5              13
     985               4              10
     986               7              14
     987               8              17
     988              10              17
     989               7              17
     990               6              12
     991               5              13
     992               6              18
     993               7              15
     994               6              14
     995               5              16
     996               5              14
     997               5              10
     998               5              11
     999               5              14
    1000               2               8
    1001               3              13
    1002               4              12
    1003               5              13
    1004               4              15
    1005               5              13
    1006               6              13
    1007               7              17
    1008               6              15
    1009               6              14
    1010               5              12
    1011               7              17
    1012               5              12
    1013               4              13
    1014               7              12
    1015               5              13
    1016               6              14
    1017               9              17
    1018               5              17
    1019               4              10
    1020               4              12
    1021               6              13
    1022               6              14
    1023               5              15
    1024               4              13
    1025               5              12
    1026               8              15
    1027               2              10
    1028               5              13
    1029               6              16
    1030               5               9
    1031               4              11
    1032               5              12
    1033               3              12
    1034               3              15
    1035               4              14
    1036               5              16
    1037               6              15
    1038               5              12
    1039               4              15
    1040               5              14
    1041               6              15
    1042               5              15
    1043               4              15
    1044               7              14
    1045               7              14
    1046               7              15
    1047               6              12
    1048               4              16
    1049               7              17
    1050               5              15
    1051               4              13
    1052               3              13
    1053               7              13
    1054               4              14
    1055               7              13
    1056               7              14
    1057               5              12
    1058               5              13
    1059               4              15
    1060               4              14
    1061               5              17
    1062               7              18
    1063               4              14
    1064               7              15
    1065               7              16
    1066               7              18
    1067               3              10
    1068               7              14
    1069               8              18
    1070               7              16
    1071               7              15
    1072               7              18
    1073               7              18
    1074               7              17
    1075               3              11
    1076               7              18
