#Frame           COM1       ANGLE1
     686       3.9793      24.4553
     687       4.1816      15.7836
     688       4.3165      15.6937
     689       3.8857       4.2765
     690       3.7708      16.6358
     691       3.8997       8.1258
     692       4.1262      15.2087
     693       4.0936       1.9282
     694       3.9826      18.1480
     695       3.6473      11.3323
     696       3.7971      17.6333
     697       3.9567      14.4246
     698       3.7890      11.3382
     699       4.1835      13.2001
     700       3.9572      12.6705
     701       4.0012      15.6110
     702       3.9270      15.9878
     703       4.3129      23.6521
     704       4.1123      18.8221
     705       3.8507      18.1514
     706       3.9638       8.2063
     707       4.2867      25.8954
     708       3.9239      23.0432
     709       4.0758       9.0602
     710       4.0104      20.4331
     711       4.0016      31.7887
     712       4.1439      24.2137
     713       4.1523      12.6848
     714       4.0833      15.2420
     715       4.3993      17.4482
     716       4.0046      33.2773
     717       4.0835      11.3224
     718       4.3108      23.0887
     719       4.0990      25.0280
     720       4.1335      12.0754
     721       4.2173      21.2187
     722       4.0137      30.8762
     723       3.9843      18.9631
     724       3.8497      18.6509
     725       3.8726      18.5045
     726       3.6411      18.9510
     727       4.0840       8.0131
     728       4.2255      22.2079
     729       3.9997      23.6813
     730       4.0042      25.3181
     731       3.9683      24.9102
     732       4.1400      24.1681
     733       4.1774      13.8563
     734       3.9339      10.9095
     735       4.1178      12.7634
     736       3.7108      15.0378
     737       4.9674       4.7776
     738       4.8165      16.8955
     739       4.1771      25.8473
     740       3.9431       6.0656
     741       3.9803      22.6268
     742       4.0873      21.4036
     743       4.1223      30.9038
     744       4.2643      13.7177
     745       3.8150      24.6138
     746       3.9160      14.4872
     747       4.9667      12.3211
     748       5.2605      13.7006
     749       3.6523       8.7099
     750       4.0198      12.4846
     751       3.9767      21.0247
     752       5.2477      15.3329
     753       3.8693       8.5944
     754       3.5904      16.7818
     755       3.6695      15.2499
     756       4.0734      23.3523
     757       3.4123       7.1563
     758       3.8082      12.1377
     759       3.8642      21.3435
     760       3.8497       9.1251
     761       3.8788      19.7594
     762       4.6250      18.5183
     763       4.3763      19.3728
     764       3.6707      10.5684
     765       3.5987       5.5164
     766       4.3091      15.3388
     767       3.5712      24.0755
     768       3.9675      18.3056
     769       3.6140       5.5190
     770       3.8107      15.0481
     771       4.0683      18.8848
     772       3.6418       8.6815
     773       3.3621      16.6258
     774       4.0709       2.2496
     775       3.5636       2.6345
     776       4.0116      11.1180
     777       3.6503       6.3304
     778       3.5425       7.6872
     779       3.6566       4.5610
     780       3.5781      15.9038
     781       3.6403      24.3826
     782       3.6752       6.4918
     783       3.7131       5.8109
     784       4.0617       9.3198
     785       3.7192       8.8418
     786       3.8681      14.3325
     787       3.6951      13.3134
     788       4.1146       8.2966
     789       3.7108       8.3376
     790       3.5008       8.4880
     791       3.9166       9.8490
     792       3.5962      12.8377
     793       4.0608       3.1084
     794       3.7786       7.0951
     795       3.9424      10.1189
     796       3.8309       4.0025
     797       4.4781      24.9043
     798       4.0390       4.8405
